CustomerID,total_orders,total_quantity,total_spend,avg_order_value,avg_unit_price,avg_items_in_cart,products_bought,coupon_orders,delivered_orders,cancelled_orders,returned_orders,shipped_orders,first_order_date,last_order_date,customer_lifetime_days,orders_per_active_day,coupon_rate,delivery_rate,cancel_rate,return_rate,avg_quantity_per_order,cart_to_quantity_ratio,spend_per_product,cluster,persona
C11657,1,4,264.4,264.4,66.1,9.0,1,1,0,0,1,0,2023-12-10,2023-12-10,0,1.0,1.0,0.0,0.0,1.0,4.0,2.2499999994375,264.4,0,One-Time / Occasional Shoppers
C11665,1,3,337.38,337.38,112.46,6.0,1,1,0,0,0,1,2023-04-28,2023-04-28,0,1.0,1.0,0.0,0.0,0.0,3.0,1.9999999993333333,337.38,0,One-Time / Occasional Shoppers
C11676,1,2,929.0,929.0,464.5,2.0,1,1,0,1,0,0,2025-06-11,2025-06-11,0,1.0,1.0,0.0,1.0,0.0,2.0,0.9999999995,929.0,0,One-Time / Occasional Shoppers
C11829,1,2,279.14,279.14,139.57,4.0,1,1,1,0,0,0,2025-05-04,2025-05-04,0,1.0,1.0,1.0,0.0,0.0,2.0,1.999999999,279.14,0,One-Time / Occasional Shoppers
C11849,1,2,476.5,476.5,238.25,7.0,1,1,0,1,0,0,2024-10-27,2024-10-27,0,1.0,1.0,0.0,1.0,0.0,2.0,3.49999999825,476.5,0,One-Time / Occasional Shoppers
C11893,1,5,1582.0,1582.0,316.4,7.0,1,0,0,0,1,0,2024-09-20,2024-09-20,0,1.0,0.0,0.0,0.0,1.0,5.0,1.3999999997199999,1582.0,0,One-Time / Occasional Shoppers
C11906,1,3,1237.59,1237.59,412.53,6.0,1,1,0,0,0,0,2025-01-01,2025-01-01,0,1.0,1.0,0.0,0.0,0.0,3.0,1.9999999993333333,1237.59,0,One-Time / Occasional Shoppers
C11921,1,1,452.7,452.7,452.7,5.0,1,1,0,0,0,1,2024-11-29,2024-11-29,0,1.0,1.0,0.0,0.0,0.0,1.0,4.999999995,452.7,0,One-Time / Occasional Shoppers
C11940,1,3,448.02,448.02,149.34,7.0,1,1,0,1,0,0,2023-09-05,2023-09-05,0,1.0,1.0,0.0,1.0,0.0,3.0,2.3333333325555556,448.02,0,One-Time / Occasional Shoppers
C11985,1,1,30.44,30.44,30.44,1.0,1,1,0,0,0,1,2023-10-07,2023-10-07,0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999989999999,30.44,0,One-Time / Occasional Shoppers
C11998,1,3,1495.98,1495.98,498.66,6.0,1,0,0,1,0,0,2025-02-16,2025-02-16,0,1.0,0.0,0.0,1.0,0.0,3.0,1.9999999993333333,1495.98,0,One-Time / Occasional Shoppers
C12039,1,1,132.68,132.68,132.68,1.0,1,1,0,0,1,0,2023-12-12,2023-12-12,0,1.0,1.0,0.0,0.0,1.0,1.0,0.9999999989999999,132.68,0,One-Time / Occasional Shoppers
C12245,1,2,815.58,815.58,407.79,3.0,1,0,0,0,0,1,2023-05-17,2023-05-17,0,1.0,0.0,0.0,0.0,0.0,2.0,1.49999999925,815.58,0,One-Time / Occasional Shoppers
C12301,1,1,531.74,531.74,531.74,1.0,1,1,0,0,0,1,2023-09-11,2023-09-11,0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999989999999,531.74,0,One-Time / Occasional Shoppers
C12388,1,5,2683.6,2683.6,536.72,10.0,1,0,1,0,0,0,2023-05-01,2023-05-01,0,1.0,0.0,1.0,0.0,0.0,5.0,1.9999999996,2683.6,0,One-Time / Occasional Shoppers
C12408,1,2,161.54,161.54,80.77,4.0,1,0,0,0,0,1,2023-08-26,2023-08-26,0,1.0,0.0,0.0,0.0,0.0,2.0,1.999999999,161.54,0,One-Time / Occasional Shoppers
C12421,1,1,93.02,93.02,93.02,4.0,1,0,0,0,1,0,2023-04-28,2023-04-28,0,1.0,0.0,0.0,0.0,1.0,1.0,3.9999999959999997,93.02,0,One-Time / Occasional Shoppers
C12444,1,3,230.88,230.88,76.96,8.0,1,1,0,0,1,0,2024-09-17,2024-09-17,0,1.0,1.0,0.0,0.0,1.0,3.0,2.6666666657777776,230.88,0,One-Time / Occasional Shoppers
C12459,1,2,284.16,284.16,142.08,4.0,1,1,1,0,0,0,2024-09-06,2024-09-06,0,1.0,1.0,1.0,0.0,0.0,2.0,1.999999999,284.16,0,One-Time / Occasional Shoppers
C12472,1,3,252.93,252.93,84.31,3.0,1,1,0,0,0,1,2024-02-25,2024-02-25,0,1.0,1.0,0.0,0.0,0.0,3.0,0.9999999996666666,252.93,0,One-Time / Occasional Shoppers
C12479,1,5,124.1,124.1,24.82,10.0,1,0,0,0,0,1,2023-10-02,2023-10-02,0,1.0,0.0,0.0,0.0,0.0,5.0,1.9999999996,124.1,0,One-Time / Occasional Shoppers
C12487,1,3,1427.07,1427.07,475.69,3.0,1,1,0,1,0,0,2024-01-08,2024-01-08,0,1.0,1.0,0.0,1.0,0.0,3.0,0.9999999996666666,1427.07,0,One-Time / Occasional Shoppers
C12607,1,1,281.52,281.52,281.52,6.0,1,1,0,0,0,1,2023-04-05,2023-04-05,0,1.0,1.0,0.0,0.0,0.0,1.0,5.9999999939999995,281.52,0,One-Time / Occasional Shoppers
C12609,1,4,547.32,547.32,136.83,8.0,1,1,0,0,0,0,2023-11-26,2023-11-26,0,1.0,1.0,0.0,0.0,0.0,4.0,1.9999999995,547.32,0,One-Time / Occasional Shoppers
C12667,1,1,223.3,223.3,223.3,1.0,1,0,0,0,1,0,2025-04-20,2025-04-20,0,1.0,0.0,0.0,0.0,1.0,1.0,0.9999999989999999,223.3,0,One-Time / Occasional Shoppers
C12740,1,5,644.75,644.75,128.95,10.0,1,1,0,0,0,0,2023-09-21,2023-09-21,0,1.0,1.0,0.0,0.0,0.0,5.0,1.9999999996,644.75,0,One-Time / Occasional Shoppers
C12813,1,5,1462.7,1462.7,292.54,8.0,1,1,0,1,0,0,2025-03-15,2025-03-15,0,1.0,1.0,0.0,1.0,0.0,5.0,1.59999999968,1462.7,0,One-Time / Occasional Shoppers
C12818,1,3,191.04,191.04,63.68,6.0,1,0,0,0,1,0,2023-12-13,2023-12-13,0,1.0,0.0,0.0,0.0,1.0,3.0,1.9999999993333333,191.04,0,One-Time / Occasional Shoppers
C13100,1,4,1177.64,1177.64,294.41,4.0,1,0,0,0,0,0,2023-12-18,2023-12-18,0,1.0,0.0,0.0,0.0,0.0,4.0,0.99999999975,1177.64,0,One-Time / Occasional Shoppers
C13108,1,5,3293.85,3293.85,658.77,10.0,1,1,0,0,0,0,2024-04-25,2024-04-25,0,1.0,1.0,0.0,0.0,0.0,5.0,1.9999999996,3293.85,0,One-Time / Occasional Shoppers
C13169,1,1,536.07,536.07,536.07,5.0,1,1,1,0,0,0,2023-11-15,2023-11-15,0,1.0,1.0,1.0,0.0,0.0,1.0,4.999999995,536.07,0,One-Time / Occasional Shoppers
C13186,1,2,889.68,889.68,444.84,7.0,1,0,0,0,0,1,2023-08-29,2023-08-29,0,1.0,0.0,0.0,0.0,0.0,2.0,3.49999999825,889.68,0,One-Time / Occasional Shoppers
C13205,1,5,2107.1,2107.1,421.42,7.0,1,0,0,1,0,0,2023-01-25,2023-01-25,0,1.0,0.0,0.0,1.0,0.0,5.0,1.3999999997199999,2107.1,0,One-Time / Occasional Shoppers
C13296,1,2,108.82,108.82,54.41,6.0,1,0,0,0,0,1,2023-06-03,2023-06-03,0,1.0,0.0,0.0,0.0,0.0,2.0,2.9999999985,108.82,0,One-Time / Occasional Shoppers
C13324,1,2,1199.48,1199.48,599.74,2.0,1,0,0,0,0,1,2025-03-15,2025-03-15,0,1.0,0.0,0.0,0.0,0.0,2.0,0.9999999995,1199.48,0,One-Time / Occasional Shoppers
C13366,1,4,2714.2,2714.2,678.55,5.0,1,0,1,0,0,0,2023-07-06,2023-07-06,0,1.0,0.0,1.0,0.0,0.0,4.0,1.2499999996875,2714.2,0,One-Time / Occasional Shoppers
C13501,1,5,427.6,427.6,85.52,5.0,1,0,0,1,0,0,2023-08-23,2023-08-23,0,1.0,0.0,0.0,1.0,0.0,5.0,0.9999999998,427.6,0,One-Time / Occasional Shoppers
C13525,1,3,212.79,212.79,70.93,5.0,1,0,0,0,1,0,2024-06-13,2024-06-13,0,1.0,0.0,0.0,0.0,1.0,3.0,1.6666666661111111,212.79,0,One-Time / Occasional Shoppers
C13540,1,4,1239.64,1239.64,309.91,5.0,1,1,0,0,0,1,2023-06-04,2023-06-04,0,1.0,1.0,0.0,0.0,0.0,4.0,1.2499999996875,1239.64,0,One-Time / Occasional Shoppers
C13877,1,5,3384.9,3384.9,676.98,5.0,1,0,0,1,0,0,2023-11-26,2023-11-26,0,1.0,0.0,0.0,1.0,0.0,5.0,0.9999999998,3384.9,0,One-Time / Occasional Shoppers
C13923,1,1,118.8,118.8,118.8,6.0,1,1,1,0,0,0,2023-10-08,2023-10-08,0,1.0,1.0,1.0,0.0,0.0,1.0,5.9999999939999995,118.8,0,One-Time / Occasional Shoppers
C14005,1,2,80.46,80.46,40.23,4.0,1,1,0,1,0,0,2024-01-01,2024-01-01,0,1.0,1.0,0.0,1.0,0.0,2.0,1.999999999,80.46,0,One-Time / Occasional Shoppers
C14017,1,2,1248.32,1248.32,624.16,2.0,1,1,0,0,0,1,2023-05-09,2023-05-09,0,1.0,1.0,0.0,0.0,0.0,2.0,0.9999999995,1248.32,0,One-Time / Occasional Shoppers
C14080,1,1,283.69,283.69,283.69,6.0,1,0,0,0,0,1,2024-06-27,2024-06-27,0,1.0,0.0,0.0,0.0,0.0,1.0,5.9999999939999995,283.69,0,One-Time / Occasional Shoppers
C14114,1,3,1704.06,1704.06,568.02,3.0,1,1,0,0,0,0,2024-09-27,2024-09-27,0,1.0,1.0,0.0,0.0,0.0,3.0,0.9999999996666666,1704.06,0,One-Time / Occasional Shoppers
C14240,1,1,491.11,491.11,491.11,4.0,1,1,1,0,0,0,2023-05-03,2023-05-03,0,1.0,1.0,1.0,0.0,0.0,1.0,3.9999999959999997,491.11,0,One-Time / Occasional Shoppers
C14427,1,2,533.9,533.9,266.95,3.0,1,0,0,0,0,0,2024-07-23,2024-07-23,0,1.0,0.0,0.0,0.0,0.0,2.0,1.49999999925,533.9,0,One-Time / Occasional Shoppers
C14455,1,3,164.85,164.85,54.95,8.0,1,1,0,0,1,0,2023-12-09,2023-12-09,0,1.0,1.0,0.0,0.0,1.0,3.0,2.6666666657777776,164.85,0,One-Time / Occasional Shoppers
C14457,1,5,395.4,395.4,79.08,8.0,1,0,0,0,0,0,2024-05-29,2024-05-29,0,1.0,0.0,0.0,0.0,0.0,5.0,1.59999999968,395.4,0,One-Time / Occasional Shoppers
C14552,1,5,1120.0,1120.0,224.0,9.0,1,1,0,0,1,0,2023-01-23,2023-01-23,0,1.0,1.0,0.0,0.0,1.0,5.0,1.79999999964,1120.0,0,One-Time / Occasional Shoppers
C14553,1,3,440.1899999999999,440.1899999999999,146.73,8.0,1,1,1,0,0,0,2024-09-09,2024-09-09,0,1.0,1.0,1.0,0.0,0.0,3.0,2.6666666657777776,440.1899999999999,0,One-Time / Occasional Shoppers
C14568,1,4,885.32,885.32,221.33,5.0,1,0,0,0,0,0,2023-02-11,2023-02-11,0,1.0,0.0,0.0,0.0,0.0,4.0,1.2499999996875,885.32,0,One-Time / Occasional Shoppers
C14576,1,4,2156.8,2156.8,539.2,8.0,1,1,0,0,0,0,2024-04-18,2024-04-18,0,1.0,1.0,0.0,0.0,0.0,4.0,1.9999999995,2156.8,0,One-Time / Occasional Shoppers
C14600,1,2,441.8,441.8,220.9,4.0,1,0,0,0,0,1,2023-07-20,2023-07-20,0,1.0,0.0,0.0,0.0,0.0,2.0,1.999999999,441.8,0,One-Time / Occasional Shoppers
C14683,1,2,1069.34,1069.34,534.67,7.0,1,1,0,0,0,1,2025-06-11,2025-06-11,0,1.0,1.0,0.0,0.0,0.0,2.0,3.49999999825,1069.34,0,One-Time / Occasional Shoppers
C14737,1,4,581.64,581.64,145.41,7.0,1,1,0,0,1,0,2023-01-14,2023-01-14,0,1.0,1.0,0.0,0.0,1.0,4.0,1.7499999995625,581.64,0,One-Time / Occasional Shoppers
C14837,1,1,183.18,183.18,183.18,6.0,1,1,0,1,0,0,2023-04-01,2023-04-01,0,1.0,1.0,0.0,1.0,0.0,1.0,5.9999999939999995,183.18,0,One-Time / Occasional Shoppers
C14847,2,5,1097.81,548.905,256.78,4.0,2,1,0,0,0,1,2023-01-01,2024-12-19,718,0.0027816411682892906,0.5,0.0,0.0,0.0,2.5,1.59999999936,548.905,1,Repeat / Higher-Value Shoppers
C14891,1,4,1654.96,1654.96,413.74,7.0,1,1,0,0,1,0,2024-03-23,2024-03-23,0,1.0,1.0,0.0,0.0,1.0,4.0,1.7499999995625,1654.96,0,One-Time / Occasional Shoppers
C14983,1,1,17.24,17.24,17.24,2.0,1,1,0,0,0,0,2023-07-12,2023-07-12,0,1.0,1.0,0.0,0.0,0.0,1.0,1.9999999979999998,17.24,0,One-Time / Occasional Shoppers
C15017,1,1,675.57,675.57,675.57,1.0,1,1,0,0,0,1,2025-05-02,2025-05-02,0,1.0,1.0,0.0,0.0,0.0,1.0,0.9999999989999999,675.57,0,One-Time / Occasional Shoppers
C15063,1,5,426.1,426.1,85.22,7.0,1,1,0,1,0,0,2024-04-29,2024-04-29,0,1.0,1.0,0.0,1.0,0.0,5.0,1.3999999997199999,426.1,0,One-Time / Occasional Shoppers
C15146,1,5,190.55,190.55,38.11,6.0,1,1,0,1,0,0,2023-08-17,2023-08-17,0,1.0,1.0,0.0,1.0,0.0,5.0,1.19999999976,190.55,0,One-Time / Occasional Shoppers
C15228,1,3,1422.42,1422.42,474.14,8.0,1,1,0,0,0,1,2024-02-19,2024-02-19,0,1.0,1.0,0.0,0.0,0.0,3.0,2.6666666657777776,1422.42,0,One-Time / Occasional Shoppers
C15257,1,4,580.2,580.2,145.05,6.0,1,1,1,0,0,0,2025-03-21,2025-03-21,0,1.0,1.0,1.0,0.0,0.0,4.0,1.499999999625,580.2,0,One-Time / Occasional Shoppers
C15283,1,1,381.02,381.02,381.02,6.0,1,0,0,0,0,1,2023-11-25,2023-11-25,0,1.0,0.0,0.0,0.0,0.0,1.0,5.9999999939999995,381.02,0,One-Time / Occasional Shoppers
C15624,1,5,3097.6,3097.6,619.52,9.0,1,0,0,0,0,0,2025-01-21,2025-01-21,0,1.0,0.0,0.0,0.0,0.0,5.0,1.79999999964,3097.6,0,One-Time / Occasional Shoppers
C15629,1,3,912.4499999999999,912.4499999999999,304.15,3.0,1,1,0,0,0,1,2023-04-16,2023-04-16,0,1.0,1.0,0.0,0.0,0.0,3.0,0.9999999996666666,912.4499999999999,0,One-Time / Occasional Shoppers
C15681,1,4,2161.64,2161.64,540.41,6.0,1,0,0,1,0,0,2023-08-22,2023-08-22,0,1.0,0.0,0.0,1.0,0.0,4.0,1.499999999625,2161.64,0,One-Time / Occasional Shoppers
C15849,1,1,525.43,525.43,525.43,2.0,1,1,0,1,0,0,2024-12-23,2024-12-23,0,1.0,1.0,0.0,1.0,0.0,1.0,1.9999999979999998,525.43,0,One-Time / Occasional Shoppers
C15924,1,1,245.89,245.89,245.89,3.0,1,1,1,0,0,0,2024-12-19,2024-12-19,0,1.0,1.0,1.0,0.0,0.0,1.0,2.9999999969999998,245.89,0,One-Time / Occasional Shoppers
C16012,1,1,630.82,630.82,630.82,5.0,1,1,1,0,0,0,2025-03-28,2025-03-28,0,1.0,1.0,1.0,0.0,0.0,1.0,4.999999995,630.82,0,One-Time / Occasional Shoppers
C16253,1,2,399.4,399.4,199.7,4.0,1,0,0,0,0,0,2025-06-23,2025-06-23,0,1.0,0.0,0.0,0.0,0.0,2.0,1.999999999,399.4,0,One-Time / Occasional Shoppers
C16400,1,3,628.4399999999999,628.4399999999999,209.48,4.0,1,0,0,0,0,0,2024-10-08,2024-10-08,0,1.0,0.0,0.0,0.0,0.0,3.0,1.3333333328888888,628.4399999999999,0,One-Time / Occasional Shoppers
C16429,1,1,679.65,679.65,679.65,6.0,1,1,0,0,0,1,2024-03-26,2024-03-26,0,1.0,1.0,0.0,0.0,0.0,1.0,5.9999999939999995,679.65,0,One-Time / Occasional Shoppers
C16612,1,1,600.54,600.54,600.54,4.0,1,1,0,0,0,0,2025-03-19,2025-03-19,0,1.0,1.0,0.0,0.0,0.0,1.0,3.9999999959999997,600.54,0,One-Time / Occasional Shoppers
C16675,1,4,857.4,857.4,214.35,7.0,1,1,0,1,0,0,2025-06-09,2025-06-09,0,1.0,1.0,0.0,1.0,0.0,4.0,1.7499999995625,857.4,0,One-Time / Occasional Shoppers
C16693,1,4,949.72,949.72,237.43,8.0,1,1,0,1,0,0,2025-02-05,2025-02-05,0,1.0,1.0,0.0,1.0,0.0,4.0,1.9999999995,949.72,0,One-Time / Occasional Shoppers
C16702,1,3,1390.17,1390.17,463.39,3.0,1,0,0,0,1,0,2023-08-27,2023-08-27,0,1.0,0.0,0.0,0.0,1.0,3.0,0.9999999996666666,1390.17,0,One-Time / Occasional Shoppers
C16758,1,3,188.31,188.31,62.77,6.0,1,1,0,0,0,1,2024-11-01,2024-11-01,0,1.0,1.0,0.0,0.0,0.0,3.0,1.9999999993333333,188.31,0,One-Time / Occasional Shoppers
C16775,1,5,3353.75,3353.75,670.75,8.0,1,1,0,0,0,1,2023-03-27,2023-03-27,0,1.0,1.0,0.0,0.0,0.0,5.0,1.59999999968,3353.75,0,One-Time / Occasional Shoppers
C16776,1,2,320.0,320.0,160.0,4.0,1,1,0,0,0,0,2023-09-04,2023-09-04,0,1.0,1.0,0.0,0.0,0.0,2.0,1.999999999,320.0,0,One-Time / Occasional Shoppers
C16790,1,4,258.96,258.96,64.74,8.0,1,1,0,1,0,0,2023-04-08,2023-04-08,0,1.0,1.0,0.0,1.0,0.0,4.0,1.9999999995,258.96,0,One-Time / Occasional Shoppers
C17075,1,4,1259.04,1259.04,314.76,8.0,1,0,0,0,0,1,2024-07-25,2024-07-25,0,1.0,0.0,0.0,0.0,0.0,4.0,1.9999999995,1259.04,0,One-Time / Occasional Shoppers
C17103,1,3,1278.36,1278.36,426.12,5.0,1,1,1,0,0,0,2024-01-05,2024-01-05,0,1.0,1.0,1.0,0.0,0.0,3.0,1.6666666661111111,1278.36,0,One-Time / Occasional Shoppers
C17132,1,1,386.03,386.03,386.03,4.0,1,1,0,0,0,0,2024-12-07,2024-12-07,0,1.0,1.0,0.0,0.0,0.0,1.0,3.9999999959999997,386.03,0,One-Time / Occasional Shoppers
C17136,1,4,641.96,641.96,160.49,8.0,1,1,0,0,0,1,2023-07-26,2023-07-26,0,1.0,1.0,0.0,0.0,0.0,4.0,1.9999999995,641.96,0,One-Time / Occasional Shoppers
C17181,1,5,2276.65,2276.65,455.33,8.0,1,1,0,1,0,0,2025-02-25,2025-02-25,0,1.0,1.0,0.0,1.0,0.0,5.0,1.59999999968,2276.65,0,One-Time / Occasional Shoppers
C17269,1,4,1733.8,1733.8,433.45,4.0,1,0,0,1,0,0,2023-05-03,2023-05-03,0,1.0,0.0,0.0,1.0,0.0,4.0,0.99999999975,1733.8,0,One-Time / Occasional Shoppers
C17302,1,1,359.99,359.99,359.99,5.0,1,1,0,1,0,0,2023-07-25,2023-07-25,0,1.0,1.0,0.0,1.0,0.0,1.0,4.999999995,359.99,0,One-Time / Occasional Shoppers
C17388,1,1,317.25,317.25,317.25,1.0,1,1,0,0,1,0,2024-02-10,2024-02-10,0,1.0,1.0,0.0,0.0,1.0,1.0,0.9999999989999999,317.25,0,One-Time / Occasional Shoppers
C17389,1,1,522.08,522.08,522.08,5.0,1,1,0,0,1,0,2024-11-10,2024-11-10,0,1.0,1.0,0.0,0.0,1.0,1.0,4.999999995,522.08,0,One-Time / Occasional Shoppers
C17470,1,2,461.9,461.9,230.95,3.0,1,1,1,0,0,0,2024-10-30,2024-10-30,0,1.0,1.0,1.0,0.0,0.0,2.0,1.49999999925,461.9,0,One-Time / Occasional Shoppers
C17551,1,1,518.39,518.39,518.39,4.0,1,1,0,0,0,0,2025-04-13,2025-04-13,0,1.0,1.0,0.0,0.0,0.0,1.0,3.9999999959999997,518.39,0,One-Time / Occasional Shoppers
C17591,1,1,479.76,479.76,479.76,1.0,1,0,0,0,0,0,2023-09-29,2023-09-29,0,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999989999999,479.76,0,One-Time / Occasional Shoppers
C17921,1,4,1210.6,1210.6,302.65,8.0,1,1,0,1,0,0,2023-02-20,2023-02-20,0,1.0,1.0,0.0,1.0,0.0,4.0,1.9999999995,1210.6,0,One-Time / Occasional Shoppers
C17966,1,2,185.74,185.74,92.87,5.0,1,1,0,0,0,0,2023-10-17,2023-10-17,0,1.0,1.0,0.0,0.0,0.0,2.0,2.49999999875,185.74,0,One-Time / Occasional Shoppers
C18037,1,2,140.68,140.68,70.34,3.0,1,1,0,1,0,0,2023-03-08,2023-03-08,0,1.0,1.0,0.0,1.0,0.0,2.0,1.49999999925,140.68,0,One-Time / Occasional Shoppers
C18076,1,3,1766.22,1766.22,588.74,8.0,1,1,0,0,0,0,2023-12-01,2023-12-01,0,1.0,1.0,0.0,0.0,0.0,3.0,2.6666666657777776,1766.22,0,One-Time / Occasional Shoppers
C18104,1,5,635.9000000000001,635.9000000000001,127.18,9.0,1,1,0,1,0,0,2024-11-15,2024-11-15,0,1.0,1.0,0.0,1.0,0.0,5.0,1.79999999964,635.9000000000001,0,One-Time / Occasional Shoppers
C18105,1,4,2332.08,2332.08,583.02,4.0,1,1,1,0,0,0,2024-10-25,2024-10-25,0,1.0,1.0,1.0,0.0,0.0,4.0,0.99999999975,2332.08,0,One-Time / Occasional Shoppers
C18138,1,3,1618.38,1618.38,539.46,4.0,1,1,0,0,0,1,2023-04-06,2023-04-06,0,1.0,1.0,0.0,0.0,0.0,3.0,1.3333333328888888,1618.38,0,One-Time / Occasional Shoppers
C18167,1,4,887.84,887.84,221.96,7.0,1,0,1,0,0,0,2024-03-17,2024-03-17,0,1.0,0.0,1.0,0.0,0.0,4.0,1.7499999995625,887.84,0,One-Time / Occasional Shoppers
C18169,1,2,929.84,929.84,464.92,2.0,1,0,0,0,1,0,2025-05-03,2025-05-03,0,1.0,0.0,0.0,0.0,1.0,2.0,0.9999999995,929.84,0,One-Time / Occasional Shoppers
C18187,1,1,605.28,605.28,605.28,3.0,1,1,0,0,0,1,2024-11-18,2024-11-18,0,1.0,1.0,0.0,0.0,0.0,1.0,2.9999999969999998,605.28,0,One-Time / Occasional Shoppers
C18353,1,3,1299.99,1299.99,433.33,4.0,1,1,0,1,0,0,2025-06-03,2025-06-03,0,1.0,1.0,0.0,1.0,0.0,3.0,1.3333333328888888,1299.99,0,One-Time / Occasional Shoppers
C18404,1,5,3370.2,3370.2,674.04,7.0,1,1,0,1,0,0,2023-02-28,2023-02-28,0,1.0,1.0,0.0,1.0,0.0,5.0,1.3999999997199999,3370.2,0,One-Time / Occasional Shoppers
C18473,1,2,840.58,840.58,420.29,3.0,1,1,0,0,1,0,2025-06-14,2025-06-14,0,1.0,1.0,0.0,0.0,1.0,2.0,1.49999999925,840.58,0,One-Time / Occasional Shoppers
C18567,1,4,365.84,365.84,91.46,9.0,1,1,0,1,0,0,2023-09-23,2023-09-23,0,1.0,1.0,0.0,1.0,0.0,4.0,2.2499999994375,365.84,0,One-Time / Occasional Shoppers
C18583,1,5,1822.1,1822.1,364.42,10.0,1,1,0,1,0,0,2023-08-20,2023-08-20,0,1.0,1.0,0.0,1.0,0.0,5.0,1.9999999996,1822.1,0,One-Time / Occasional Shoppers
C18717,1,5,2793.15,2793.15,558.63,8.0,1,1,0,0,0,0,2023-03-26,2023-03-26,0,1.0,1.0,0.0,0.0,0.0,5.0,1.59999999968,2793.15,0,One-Time / Occasional Shoppers
